id,id_поста,дата_поста,день_недели,количество_лайков,текст_поста
61,1184,2024-10-05 20:19:15,6,20,"Вот и подошел очередной футбольный сезон, на этот раз сразу 2 клуба из системы Казачка участвовали в турнире 8 на 8 ВЛМФ.Основа, как и дубль выполнили поставленые задачи. Казачок занял 5 место в Чемпионате Воронежа, дубль занял 3 место в 4 дивизионе и поднялся в 3-й. Сезон был тяжёлым, а по другому и не бывает, всегда жизнь испытывает нас, главное несмотря ни на что, не отпускать руки, если упал, подниматься и идти дальше к своей целе.Так и наш клуб, имея много проблем, особенно в финансовом плане, крепко стоит на ногах и смотрит только вперед, устремившись к новым вызовам и их успешному преодолению. Так же от себя хотел сказать большое спасибо нашей команде, коллектив является одним целым, семьей и я горжусь тем, что в нас верят, несмотря на отсутствие финансирования остаются с нами. Уверен вместе мы решим любые проблемы !
И по традиции — Один за всех и все за Казачок!"
62,1183,2024-10-04 23:03:22,5,16,"Корпоратив ГПБ 22.09.24 Теамpark 
Было здорово 🤟"
63,1182,2024-10-04 21:48:41,5,13,"И 2 блок, чисто волейбол и ничего лишнего 🙂"
64,1181,2024-10-04 21:47:12,5,18,"Дождались, фотографы постарались на славу и сделали отличные кадры, новая партия контента из ЕКБ, с разбивкой на 2 блока, первый вашему вниманию:"
65,1178,2024-09-17 22:53:28,2,39,"Вот и прошли соревнования между филиалами банка по футболу и волейболу в городе Екатеринбург, несмотря на результат, остались одни положительные эмоции, от города, организации, игры и общей атмосферы сплочённости и единства. Большое событие, которое останется в памяти на всю жизнь, у всех кто участвовал в данном мероприятии. Есть куда расти, в следующем году мы ещё своё возьмем 😉"
66,1177,2024-09-16 11:36:10,1,60,[Текст отсутствует]
67,1176,2024-09-12 00:06:08,4,5,Как всегда мощно 💪
68,1172,2024-08-26 23:19:28,1,7,"Крайне необычная вставка титров, обыграли не просто гениально, а я бы сказал с определённым шармом, тот момент, когда титры смотреть не скучно, а сам их показ интегрирован в произведение,  сразу понятно, почему данный фильм уже собрал серьезную кассу, так и еще вставили уже нашумевший танец, под хитовый трек,  одним словом, смотрим и наслаждаемся 😁"
69,1168,2024-08-17 23:44:51,6,14,"Уже давно не было практики, классно провёл время в тире, остались одни положительные эмоции 👍"
70,1163,2024-07-27 22:00:12,6,16,[id146226190|Сергей Казаков] уже традиция 😁
71,1159,2024-07-20 23:27:01,6,4,Туман
72,1149,2024-06-12 18:32:05,3,19,[Текст отсутствует]
73,1143,2024-05-03 21:33:19,5,25,[Текст отсутствует]
74,1141,2024-04-20 10:47:45,6,5,👏
75,1137,2024-04-03 21:45:35,3,21,[Текст отсутствует]
76,1136,2024-03-27 21:06:45,3,32,"Вот и подошел к концу зимний чемпионат в высшем дивизионе ВЛМФ. Задача была войти в топ 5 и она была выполнена, 4 место наше ! Многие наши противники сулили нам вылет в первом же сезоне вышки, однако мы собрали молодой, сыгранный и боевой коллектив, в котором каждый бьются друг за друга, не только на словах, но и на деле доказали всем, включая самих себя, что можем играть с любым соперником, навязывать борьбу и одерживать увереные победы. Небольшая пауза и стартует летний чемпионат, готовимся попадать как минимум в 4-ку и разыгрывать путевку в Сочи на чемпионат России 8x8. Уверен нам это по силам. Победа будет за нами. Один за всех и все за Казачок ! ￼￼￼￼✊"
77,1132,2024-03-24 20:41:29,7,13,"Решил сделать подобный видос, получилось неплохо) Волейбол 🏐"
78,1130,2024-02-17 15:26:09,6,1,🔥
79,1129,2024-02-13 22:54:25,2,49,Новая форма - победа - Газпромбанк !
